URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight
T,PA31,PUB UUA /OV PUB190025/TM 0205/FL115/TP PA31/TB SEV/RM ZDV,SEV,,11500.0,37.87963019895001,-104.59052097228697,2022-12-01 02:05:00,5.0,L
F,PC12,RIW UA /OV RIW250020/TM 0305/FL140/TP PC12/TB SEV 140-120 /ZLC,SEV 140-120,,14000.0,42.950214051005005,-108.88861236283772,2022-12-01 03:05:00,5.0,L
T,B77W,HNL UUA /OV 4319N17255E/TM 0520/FL350/TP B77W/TB SEV,SEV,,35000.0,43.3166,172.9166,2022-12-01 05:20:00,5.0,U
T,B737,GXY UUA /OV GLL330060/TM 1520/FL360/TP B737/TB SEV MTW/RM +- 3000FT.....ZDV,SEV MTW,,36000.0,41.366095551912295,-105.20759676102216,2022-12-01 15:20:00,5.0,M
F,BE20,UUA /OV CYXH 270030 /TM 1520 /FL175 /TP BE20 /TB SEV CAT /RM MOD CAT130-180,SEV CAT,,17500.0,50.01889,-111.49906073914838,2022-12-01 15:20:00,5.0,M
T,P28R,RKS UUA /OV KRKS /TM 1634 /FL125 /TP P28R /WV 27061KT /TB SEV,SEV,,12500.0,41.59422,-109.06519,2022-12-01 16:34:00,5.0,L
T,D228,LAR UUA /OV LAR300020/TM 1727/FL130/TP D228/TB SEV/RM 130-140,SEV,,13000.0,41.47874016668017,-106.0593547242413,2022-12-01 17:27:00,5.0,U
F,B757,GUM UA /OV UNZ095055/TM 1925/FL220/TP B757/WX +RA/DURC/TB SEV-EXTRM/RM MOD-EXTRM PRECIPITATION DURC TO FL220,SEV-EXTRM,,22000.0,13.370100764494277,145.6690063137625,2022-12-01 19:25:00,6.0,M
T,TBM7,PUB UUA /OV PUB270030/TM 2020/FL140/TP TBM7/TB EXTRM TURB/RM ZAB FDCS,EXTRM TURB,,14000.0,38.29,-105.13541798002224,2022-12-01 20:20:00,7.0,L
T,DV20,PUB UUA /OV PUB270030/TM 2021/FL080/TP DV20/TB SEV,SEV,,8000.0,38.29,-105.13541798002224,2022-12-01 20:21:00,5.0,L
F,B737,DEN UA /OV DEN330040/TM 2110/FL170/TP B737/TB SEV/RM SEV 170-140 MOD 140-100 LGT 100-SFC,SEV,,17000.0,40.4101970346082,-105.09160987478948,2022-12-01 21:10:00,5.0,M
T,PC12,DEN UUA /OV APA200020/TM 2140/FL150/TP PC12/TB SEV/RM 150-120,SEV,,15000.0,39.25674375467857,-104.99790998088366,2022-12-01 21:40:00,5.0,L
T,B737,DEN UUA /OV DEN310035/TM 2258/FL150/TP B737/TB SEV,SEV,,15000.0,40.20778981072874,-105.23945805024972,2022-12-01 22:58:00,5.0,M
T,PA44,DEN UUA /OV BJC180012/TM 2300/FL090/TP PA44/TB SEV/RM MOD BELOW 090,SEV,,9000.0,39.7087937999838,-105.11719,2022-12-01 23:00:00,5.0,L
T,PC12,MOD UUA /OV MOD150015/TM 0115/FL030/TP PC12/TB SEV/RM POSSIBLE MICROBURST DURD,SEV,,3000.0,37.40929611202193,-120.79658184363755,2022-12-02 01:15:00,5.0,L
T,SW4,DEN UUA /OV 40SW/TM 0228/FL140/TP SW4/TB SEV/RM DURD 140-120,SEV,,14000.0,39.8328,-104.6575,2022-12-02 02:28:00,5.0,M
T,E75L,RNO UUA /OV KRNO166020/TM 0315/FL110/TP E75L/TB SEV 110,SEV 110,,11000.0,39.16043189323053,-119.66661815181678,2022-12-02 03:15:00,5.0,U
T,B77W,PASY UUA /OV SYA314137/TM 0357/FL270/TP B77W/TB SEV/RM SEV DECENDING 290-270 ZAN,SEV,,27000.0,54.296265089742136,171.3987236223417,2022-12-02 03:57:00,5.0,U
T,BE20,COS UUA /OV DEP 17R/TM 0600/FL090/TP BE20/TB SEV TURB BELOW 090,SEV TURB BELOW 090,,9000.0,38.80581,-104.70078,2022-12-02 06:00:00,5.0,M
T,B744,SNP UUA /OV SPY270341/TM 1711/FL320/TP B744/TB SEV/RM ZAN,SEV,,32000.0,57.17,179.29616347640854,2022-12-02 17:11:00,5.0,H
T,B190,ASE UUA /OV DBL130040/TM 1715/FL190/TP B190/TB SEV,SEV,,19000.0,39.01144021631001,-106.23867136686094,2022-12-02 17:15:00,5.0,M
T,A20N,MEM UUA /OV MEM315030/TM 1844/FL370/TP A20N/TB SEV 370/RM ZME,SEV 370,,37000.0,35.41469202844655,-90.41696680282011,2022-12-02 18:44:00,5.0,U
T,C182,SLN UUA /OV SLN045020/TM 2154/FL045/TP C182/TB SEV/RM NO DAMAGE ZKC FDC,SEV,,4500.0,39.0266913522977,-97.34974473665012,2022-12-02 21:54:00,5.0,L
F,C182,SLN UA /OV SLN045020/TM 2154/FL045/TP C182/TB SEV/RM NO DAMAGE ZKC FDC,SEV,,4500.0,39.0266913522977,-97.34974473665012,2022-12-02 21:54:00,5.0,L
F,C182,DEN UA /OV DEN180010/TM 2201/FL155/TP C182/TB SEV,SEV,,15500.0,39.66611983331983,-104.6575,2022-12-02 22:01:00,5.0,L
T,C172,HUF UUA /OV TTH/TM 2205/FL016/TP C172/TB SEV/RM DURD,SEV,,1600.0,39.49,-87.25,2022-12-02 22:05:00,5.0,L
F,C310,FWA UA /OV KHHG/TM 2315/FL005/TP C310/TB SEV 005,SEV 005,,500.0,40.8529,-85.4571,2022-12-02 23:15:00,5.0,L
F,B737,UUA /OV 5900N06138W /TM 0337 /FL390 /TP B737 /TB SEV /RM SEV MTNWAVE ACTIVITY LASTED 10 MINS,SEV,,39000.0,59.0,-61.6333,2022-12-03 03:37:00,5.0,M
T,E190,HNL UUA /OV 14N17530W/TM 2030/FL360/TP E190/TB SEV 360-370/RM ZOA CWSU,SEV 360-370,,36000.0,0.2333,-175.5,2022-12-03 20:30:00,5.0,U
T,PA32,BJC UUA /OV BJC050006/TM 2153/FL070/TP PA32/TB SEV,SEV,,7000.0,39.9730939675535,-105.01731515452136,2022-12-03 21:53:00,5.0,L
T,C150,LDJ UUA /OV MMU180010 /TM 0231 /FL040 /TP C150 /TB SEV,SEV,,4000.0,40.63266983331983,-74.41487,2022-12-04 02:31:00,5.0,L
T,A332,SNP UUA /OV SPY100300/TM 1335/FL390/TP A332/TB SEV/RM NO DAMAGE. ZAN,SEV,,39000.0,56.30168878408307,-161.13680631400695,2022-12-04 13:35:00,5.0,H
T,GLF4,HON UUA /OV HON120005/TM 1336/FL265/TP GLF4/TB OCNL SEV 240-270/RM SEV TURB DURD,OCNL SEV 240-270,,26500.0,44.34351995832996,-98.12756752096432,2022-12-04 13:36:00,5.0,M
T,B777,ANC UUA /OV 4549N17736W/TM 1725/FL330/TP B777/TB OCNL SEV/RM ZOA CWSU,OCNL SEV,,33000.0,45.8166,-177.6,2022-12-04 17:25:00,5.0,H
F,B772,UUA /OV 4544N05239W /TM 0435 /FL360 /TP B772 /TB SEV,SEV,,36000.0,45.7333,-52.65,2022-12-05 04:35:00,5.0,H
T,B77L,PANC UUA /OV 4640N 16535W /TM 1205 /FL330 /TP B77L /TB SEV/RM AWC-WEB:,SEV,,33000.0,46.6666,-165.5833,2022-12-05 12:05:00,5.0,U
T,B77L,PANC UUA /OV 4640N 16535W /TM 1205 /FL330 /TP B77L /TB SEV/RM AWC-WEB,SEV,,33000.0,46.6666,-165.5833,2022-12-05 12:05:00,5.0,U
T,B777,PANC UUA /OV 4634N 16227W /TM 1323 /FL340 /TP B777 /TB SEV/RM AWC-WEB:,SEV,,34000.0,46.5666,-162.45,2022-12-05 13:23:00,5.0,H
T,B777,PANC UUA /OV 4634N 16227W /TM 1323 /FL340 /TP B777 /TB SEV/RM AWC-WEB,SEV,,34000.0,46.5666,-162.45,2022-12-05 13:23:00,5.0,H
F,B777,UUA /OV 4730N05200W /TM 1545 /FL370 /TP B777 /TB SEV,SEV,,37000.0,47.5,-52.0,2022-12-05 15:45:00,5.0,H
F,A330,UUA /OV 4830N05200W /TM 1555 /FL370 /TP A330 /TB SEV,SEV,,37000.0,48.5,-52.0,2022-12-05 15:55:00,5.0,L
F,A35K,UUA /OV 47N050W /TM 1708 /FL350 /TP A35K /TB SEV,SEV,,35000.0,47.0,-50.0,2022-12-05 17:08:00,5.0,U
T,C172,BJC UUA /OV BJC /TM 1805 /FL060 /TP C172 /TB SEV,SEV,,6000.0,39.90881,-105.11719,2022-12-05 18:05:00,5.0,L
F,B747,UUA /OV 4952N05414W /TM 1835 /FL370 /TP B747 /TB SEV /RM LASTED 15MIN,SEV,,37000.0,49.8666,-54.2333,2022-12-05 18:35:00,5.0,H
F,B788,UUA /OV 48N050W /TM 1914 /FL310 /TP B788 /TB SEV,SEV,,31000.0,48.0,-50.0,2022-12-05 19:14:00,5.0,U
F,B772,UUA /OV 49N050W /TM 2324 /FL320 /TP B772 /TB SEV,SEV,,32000.0,49.0,-50.0,2022-12-05 23:24:00,5.0,H
T,B77L,PHNL UUA /OV 3702N 16309W /TM 0420 /FL320 /TP B77L /TB SEV /RM ZOACWSU AWC-WEB:,SEV,,32000.0,37.333,-163.15,2022-12-06 04:20:00,5.0,U
T,B77L,PHNL UUA /OV 3702N 16309W /TM 0420 /FL320 /TP B77L /TB SEV /RM ZOACWSU AWC-WEB,SEV,,32000.0,37.333,-163.15,2022-12-06 04:20:00,5.0,U
T,C550,TRI UUA /OV HMV220020/TM 1354/FL180/TP C550/TB SEV CAT/RM 180-150 ZTLFD,SEV CAT,,18000.0,36.18463116907302,-82.3963584847931,2022-12-06 13:54:00,5.0,L
T,C550,AVL UUA /OV AVL020040/TM 1354/FL180/TP C550/TB SEV/RM NO REPORTED DAMAGE OR INJURIES,SEV,,18000.0,36.05845249064287,-82.25763921169602,2022-12-06 13:54:00,5.0,L
T,B739,DEN UUA /OV 45NE/TM 1333/FL180/TP B739/TB SEV/RM 200 DURD 180,SEV,,18000.0,39.8328,-104.6575,2022-12-07 13:33:00,5.0,M
T,C25B,BWI UUA /OV BAL170015/TM 2043/FL260/TP C25B/TB SEV,SEV,,26000.0,38.923778119370006,-76.60399981514831,2022-12-07 20:43:00,5.0,U
T,P46T,FYJ UUA /OV HCM360010/TM 2205/FL220/TP P46T/TB SEV/RM 220-200,SEV,,22000.0,37.61668016668017,-76.71,2022-12-07 22:05:00,5.0,L
F,B772,UUA /OV 78N075W /TM 2210 /FL360 /TP B772 /TB SEV /RM +/- 20 KTSSPEED DEV +/- 300 FT ALT DEV,SEV,,36000.0,78.0,-75.0,2022-12-07 22:10:00,5.0,H
F,A320,UUA /OV CYZV 180030 /TM 0425 /FL350 /TP A320 /TB SEV,SEV,,35000.0,49.7232894999595,-66.26556,2022-12-08 04:25:00,5.0,M
F,B77W,UUA /OV 4400N06540W /TM 1630 /FL340 /TP B77W /TB SEV,SEV,,34000.0,44.0,-65.6666,2022-12-08 16:30:00,5.0,U
T,E75S,ROC UUA /OV GEE350010/TM 1713/FL270/TP E75S/TB CON MDT BRDLN SEV TURB/RM NO DAM/NO INJ,CON MDT BRDLN SEV TURB,,27000.0,42.99414792041999,-77.7694665025348,2022-12-08 17:13:00,5.0,U
T,MULT A,BUF UUA /OV BUF-ROC130020 /TM 1753/FL240/TP MULT A/C/TB CON MDT-SEV TURB/RM NO DAM/NO INJ,CON MDT-SEV TURB,,24000.0,42.9408,-78.7358,2022-12-08 17:53:00,5.0,U
T,B77W,PASY UUA /OV SYA251188/TM 1901/FL310/TP B77W/TB SEV/RM ZAN,SEV,,31000.0,51.68980382008735,169.21956999148156,2022-12-08 19:01:00,5.0,U
F,C25B,FWN UA /OV SAX/TM 1945/FL1945/TP C25B/TB SEV,SEV,,19400.0,41.07,-74.54,2022-12-08 19:45:00,5.0,U
F,P28A,UUA /OV CEA6 360015 /TM 2057 /FL060 /TP P28A /TB SEV /RM SEVMOUNTAIN WAVE TURBC 15-20 N CEA6,SEV,,6000.0,49.410020250020246,-113.24,2022-12-08 20:57:00,5.0,L
